"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Matt Strahm","BOS","4","4","4","50","0","44.2","10.48","3.43","1.01",".289","67.9%","36.8%","9.4%","94.3","3.83","3.34","3.72","4.02","0.3","13799","621381"
"Manny Banuelos","- - -","2","1","1","35","0","41.0","9.22","4.61","0.44",".280","62.0%","54.2%","6.3%","93.8","4.39","3.70","3.45","3.98","0.3","5365","544365"
"Scott Alexander","SFG","0","0","2","17","4","17.1","5.19","0.52","0.52",".216","94.8%","74.0%","16.7%","","1.04","2.34","2.88","2.64","0.3","10591","518397"
"Edward Cabrera","MIA","6","4","0","14","14","71.2","9.42","4.14","1.26",".207","86.1%","45.3%","15.4%","96.0","3.01","4.05","4.59","4.12","0.3","21690","665795"
"Pierce Johnson","SDP","1","2","0","15","0","14.1","13.19","5.02","0.63",".382","68.0%","54.3%","11.1%","94.7","5.02","2.64","2.76","2.79","0.3","13435","572955"
"Jordan Hicks","STL","3","6","0","35","8","61.1","9.24","5.14","0.73",".268","67.9%","57.6%","13.2%","98.0","4.84","3.91","4.17","4.03","0.3","19618","663855"
"Steven Wilson","SDP","4","2","1","50","1","53.0","9.00","3.40","1.19",".221","79.3%","23.5%","8.9%","95.1","3.06","2.83","4.13","4.62","0.3","20353","621051"
"Konnor Pilkington","CLE","1","2","0","15","11","58.0","7.76","4.97","0.93",".280","72.5%","39.9%","9.0%","92.2","3.88","4.78","4.49","4.86","0.3","21453","663455"
"Ken Waldichuk","OAK","2","2","0","7","7","34.2","8.57","2.60","1.30",".287","69.2%","35.4%","11.6%","94.1","4.93","4.59","4.30","4.26","0.3","27681","686610"
"A.J. Puk","OAK","4","3","4","62","0","66.1","10.31","3.12","0.95",".279","77.4%","43.4%","11.5%","96.9","3.12","3.70","3.69","3.67","0.3","19343","640462"
"Brad Hand","PHI","3","2","5","55","0","45.0","7.60","4.60","0.40",".271","75.9%","40.3%","4.3%","92.8","2.80","4.40","3.93","4.90","0.3","9111","543272"
"Fernando Cruz","CIN","0","1","0","14","2","14.2","12.89","5.52","0.61",".250","90.9%","35.5%","7.7%","94.5","1.23","3.34","3.18","3.61","0.3","7048","518585"
