Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
810,Cam Vieaux*,28,PIT,8.2,8,0,11,11.42,4.43,0.00,-0.30,0.00,101.2,4.18,-7,-0.7,.93,0.0,-0.6,-6,.414,.496,,Amateur Draft,vieauca01
811,Arodys Vizcaíno,31,KCR,5.2,7,0,4,6.35,4.63,-0.27,-0.31,0.00,103.2,4.74,-1,-0.1,.65,0.0,-0.1,-1,.485,.499,,Free Agency,vizcaar01
812,Austin Voth,30,2TM,101.2,41,17,52,4.60,4.31,0.13,0.08,0.00,101.6,4.32,-3,-0.2,.42,0.2,1.0,6,.496,.500,$875000,Waivers,vothau01
813,Michael Wacha,30,BOS,127.1,23,23,49,3.46,4.35,0.05,0.20,0.00,105.8,4.76,19,2.2,,-0.1,3.3,30,.595,.513,$7000000,Free Agency,wachami01
814,Adam Wainwright,40,STL,191.2,32,32,80,3.76,4.31,0.41,0.20,0.00,94.7,3.88,2,0.3,,-0.2,1.9,20,.508,.502,$17500000,Free Agency,wainwad01
815,Cole Waites,24,SFG,5.2,7,0,2,3.18,4.66,-0.35,-0.31,0.00,104.2,4.90,1,0.1,.25,-0.1,0.1,2,.517,.501,,Amateur Draft,waiteco01
816,Ken Waldichuk*,24,OAK,34.2,7,7,19,4.93,4.49,-0.15,0.21,0.00,94.0,4.56,-1,-0.1,,0.0,0.2,2,.481,.499,,Traded,waldike01
817,Taijuan Walker,29,NYM,157.1,29,29,63,3.60,4.23,-0.01,0.18,0.00,96.9,4.28,12,1.3,,-0.1,2.6,26,.544,.508,$7000000,Free Agency,walketa01
818,Jake Walsh,26,STL,2.2,3,0,4,13.50,4.61,0.33,-0.31,0.00,88.5,3.52,-3,-0.3,.81,0.0,-0.2,-3,.404,.498,,Amateur Draft,walshja02
819,Nash Walters,25,LAA,0.1,1,0,0,0.00,3.70,0.22,-0.24,0.00,92.0,2.97,0,0.0,.79,0.0,0.0,0,.512,.500,,Purchased,waltena01
820,Donovan Walton,28,SFG,1.0,1,0,3,27.00,3.70,-0.69,-0.24,0.00,100.0,4.15,-3,-0.2,.00,0.1,-0.1,-2,.287,.499,,Traded,waltodo01
821,Andrew Wantz,26,LAA,50.1,42,1,19,3.40,4.39,0.09,-0.29,0.00,102.5,4.11,4,0.5,.93,-0.1,0.8,8,.511,.503,,Amateur Draft,wantzan01
822,Art Warren,29,CIN,36.0,39,0,29,7.25,4.49,-0.19,-0.30,0.00,111.3,4.88,-10,-1.0,1.09,-0.1,-0.8,-6,.475,.494,,Purchased,warrear01
823,Austin Warren,26,LAA,16.0,14,0,10,5.63,4.52,0.12,-0.30,0.00,102.9,4.22,-2,-0.3,.79,0.0,-0.1,-1,.482,.498,,Amateur Draft,warreau01
824,Spenser Watkins,29,BAL,105.1,23,20,59,5.04,4.33,0.26,0.17,0.00,102.9,4.36,-8,-0.8,.34,-0.1,0.1,1,.466,.495,,Free Agency,watkisp01
825,Ryan Weathers*,22,SDP,3.2,1,1,4,9.82,4.16,0.17,0.19,0.00,102.0,4.26,-2,-0.2,,0.0,-0.2,-2,.305,.499,,Amateur Draft,weathry01
